node Id source	node Id dst	edge hierarchical prop
203	200	same
200	203	same
68	202	lower
202	68	higher
71	202	same
202	71	same
204	205	same
205	204	same
66	205	same
205	66	same
204	206	same
206	204	same
207	206	same
206	207	same
204	207	same
207	204	same
207	204	same
204	207	same
68	206	lower
206	68	higher
71	206	same
206	71	same
208	209	same
209	208	same
71	209	same
209	71	same
208	210	same
210	208	same
68	210	lower
210	68	higher
66	210	same
210	66	same
211	212	same
212	211	same
66	212	same
212	66	same
211	213	same
213	211	same
214	213	same
213	214	same
211	214	same
214	211	same
214	211	same
211	214	same
68	213	lower
213	68	higher
71	213	same
213	71	same
215	216	same
216	215	same
71	216	same
216	71	same
215	217	same
217	215	same
218	217	same
217	218	same
219	217	same
217	219	same
215	218	same
218	215	same
215	219	same
219	215	same
218	215	same
215	218	same
218	219	same
219	218	same
219	215	same
215	219	same
219	218	same
218	219	same
68	217	lower
217	68	higher
66	217	same
217	66	same
220	221	same
221	220	same
222	221	same
221	222	same
220	222	same
222	220	same
222	220	same
220	222	same
71	221	same
221	71	same
220	223	same
223	220	same
222	223	same
223	222	same
224	223	same
223	224	same
220	222	same
222	220	same
220	224	same
224	220	same
222	220	same
220	222	same
222	224	same
224	222	same
224	220	same
220	224	same
224	222	same
222	224	same
68	223	lower
223	68	higher
66	223	same
223	66	same
225	226	same
226	225	same
71	226	same
226	71	same
225	180	same
180	225	same
105	180	same
180	105	same
225	105	same
105	225	same
105	225	same
225	105	same
68	180	lower
180	68	higher
71	180	same
180	71	same
227	217	same
217	227	same
219	217	same
217	219	same
227	219	same
219	227	same
219	227	same
227	219	same
71	217	same
217	71	same
227	228	same
228	227	same
219	228	same
228	219	same
229	228	same
228	229	same
227	219	same
219	227	same
227	229	same
229	227	same
219	227	same
227	219	same
219	229	same
229	219	same
229	227	same
227	229	same
229	219	same
219	229	same
68	228	lower
228	68	higher
71	228	same
228	71	same
230	231	same
231	230	same
66	231	same
231	66	same
230	232	same
232	230	same
233	232	same
232	233	same
230	233	same
233	230	same
233	230	same
230	233	same
68	232	lower
232	68	higher
